Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
AFG,7.540000000000001,6.053499365034384,2.4765858087949155,0.75287292505012,1.5709599999999995,3.7059999999999995,7.067692307692308,10,0,0,32.3,0.598095238095266,37.14878713192375,11.293093875751817,39.274,1.853,34.06,6.8,0,0
AGO,8.96,4.1408108640946,0,0,0.1472800000000003,0.19200000000000017,6.443076923076924,9,0,0,25.2,0.470041156462592,-21.289592760180994,-21.824008432762593,3.682,0.096,38.12,5.6,0,0
ALB,3.420000000000001,10,0,0,0.04763999999999946,0.09999999999999964,4.952307692307691,5.5,0,0,52.9,0.864660743569811,-28.205128205128215,-64.40651917771126,1.191,0.05,47.81,4.2,0,0
ARE,4.66,10,3.004806167508356,0,8.52716,1.0980000000000008,3.333846153846154,1.25,10,0,46.7,0.874189297959973,45.072092512625346,-1.172337019895924,213.179,0.549,58.33,2.5,10,0
ARG,2.2799999999999994,4.956516323592746,0,0,10,10,1.6338461538461537,3.5,0,0,58.6,0.524652460628153,-11.367156842723352,-20.9804711970332,456.026,10.488,69.38,3.4,0,0
ARM,3.959999999999999,NA,0,1.0256380518375572,1.2824000000000009,1.0600000000000005,NA,4,0,0,50.2,NA,-42.40576790542331,15.384570777563376,32.06,0.53,NA,3.6,0,0
ATG,8.2,NA,6.666666666674814e-4,6.666666666674814e-4,0,0,NA,4,0,0,29,NA,0.01,0.01,0,0,NA,3.6,0,0
AUS,0,0,6.666666666674814e-4,6.666666666674814e-4,0.05356000000000094,0,2.644615384615384,0.25,0,0,75.5,0.159908944824599,0.01,0.01,1.339,0,62.81,2.1,0,0
AUT,2.3,7.217643706923472,0,0,0.35975999999999964,0.5079999999999991,1.04153846153846,2.5,0,0,58.5,0.676034450107695,-35.842880523731594,-60.39194078082638,8.994,0.254,73.23,3,0,0
AZE,7.16,4.127234541997124,0,0,0.23784000000000027,0.25399999999999956,3.172307692307692,5,0,0,34.2,0.469132224633239,-46.15384615384615,-17.391811343521688,5.946,0.127,59.38,4,0,0
