Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
AFG,7.540000000000001,6.053499365034384,0,0,1.5210399999999993,3.992,7.067692307692308,10,0,0,32.3,0.598095238095266,-5.562979895668476,-14.835823280338733,38.026,1.996,34.06,6.8,0,0
AGO,8.96,4.1408108640946,0,0,0.11163999999999952,0.21799999999999997,6.443076923076924,9,0,0,25.2,0.470041156462592,-23.4599589322382,-31.806694340572005,2.791,0.109,38.12,5.6,0,0
ALB,3.420000000000001,10,0,0,0.0714800000000011,0,4.952307692307691,5.5,0,0,52.9,0.864660743569811,-41.666666666666664,-13.78102189781022,1.787,0,47.81,4.2,0,0
ARE,4.66,10,1.4883358150748052,0,6.474959999999999,1.0399999999999991,2.1707692307692303,1.25,10,0,46.7,0.874189297959973,22.32503722612209,-12.078324758058454,161.874,0.52,65.89,2.5,10,0
ARG,2.2799999999999994,4.956516323592746,0,0,10,10,1.6338461538461537,3.5,0,0,58.6,0.524652460628153,-13.344974013411367,-9.162326193072987,390.014,9.909,69.38,3.4,0,0
ARM,3.959999999999999,NA,2.125560281250446,1.7305138504763171,1.36144,1.6400000000000006,NA,4,0,0,50.2,NA,31.8834042187567,25.957707757144753,34.036,0.82,NA,3.6,0,0
ATG,8.2,NA,6.666666666674814e-4,6.666666666674814e-4,0.11672000000000082,0,NA,4,0,0,29,NA,0.01,0.01,2.918,0,NA,3.6,0,0
AUS,0,0,6.666666666674814e-4,6.666666666674814e-4,0.05827999999999989,0,2.964615384615385,0.25,0,0,75.5,0.159908944824599,0.01,0.01,1.457,0,60.73,2.1,0,0
AUT,2.3,7.217643706923472,0,0,0.37816000000000116,0.5399999999999991,2.0030769230769234,2.5,0,0,58.5,0.676034450107695,-53.81944444444444,-36.722852251444856,9.454,0.27,66.98,3,0,0
AZE,7.16,4.127234541997124,0,4.183119270335985,0.359,0.14000000000000057,3.172307692307692,5,0,0,34.2,0.469132224633239,-12.389100126742706,62.74678905503978,8.975,0.07,59.38,4,0,0
BDI,9.44,4.299045343275116,6.666666666674814e-4,6.666666666674814e-4,0.051439999999999486,0,9.663076923076924,10,0,0,22.8,0.480634920634923,0.01,0.01,1.286,0,17.19,6.5,0,0
