Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
AFG,7.540000000000001,6.053499365034384,3.081435921345008,0.7008813252005286,1.8874399999999998,4.2940000000000005,7.067692307692308,10,0,0,32.3,0.598095238095266,46.22153882017513,10.513219878007934,47.186,2.147,34.06,6.8,0,0
AGO,8.96,4.1408108640946,0,0,0.1526399999999999,0.2599999999999998,6.443076923076924,9,0,0,25.2,0.470041156462592,-18.485362596108732,-15.057050105857444,3.816,0.13,38.12,5.6,0,0
ALB,3.420000000000001,10,4.102564102564104,0,0.04368000000000016,0.1980000000000004,4.230769230769232,5.5,0,0,52.9,0.864660743569811,61.538461538461554,-62.38665930773476,1.092,0.099,52.5,4.2,0,0
ARE,4.66,10,2.8145757534239637,0.048658758223030674,8.612680000000001,1.1259999999999994,2.1707692307692303,1.25,10,0,46.7,0.874189297959973,42.218636301359446,0.7298813733454542,215.317,0.563,65.89,2.5,10,0
ARG,2.2799999999999994,4.956516323592746,0,0,10,10,1.6338461538461537,3.5,0,0,58.6,0.524652460628153,-11.264487255420793,-23.082629815322193,431.323,11.142,69.38,3.4,0,0
ARM,3.959999999999999,NA,0,0.6559637545553034,1.0991999999999997,0.9640000000000004,NA,4,0,0,50.2,NA,-56.94350099612946,9.839456318329551,27.48,0.482,NA,3.6,0,0
ATG,8.2,NA,6.666666666674814e-4,6.666666666674814e-4,0,0,NA,4,0,0,29,NA,0.01,0.01,0,0,NA,3.6,0,0
AUS,0,0,6.666666666674814e-4,6.666666666674814e-4,0.038759999999999906,0,2.644615384615384,0.25,0,0,75.5,0.159908944824599,0.01,0.01,0.969,0,62.81,2.1,0,0
AUT,2.3,7.217643706923472,0,0,0.43459999999999965,0.6340000000000003,1.04153846153846,2.5,0,0,58.5,0.676034450107695,-30.63885267275098,-57.962476047430776,10.865,0.317,73.23,3,0,0
AZE,7.16,4.127234541997124,0,0,0.19331999999999994,0.16999999999999993,2.4523076923076914,5,0,0,34.2,0.469132224633239,-66.6499563675523,-44.41559519811005,4.833,0.085,64.06,4,0,0
